seguridad.nombre_barrio,promedio_robos,casos_totales,nivel_geo,seguridad.codigo_barrio,seguridad.codigo_comuna,zona_clave,municipio_x,promedio_robos_municipio,casos_municipio,departamento,sector,comuna,municipio_y,promedio_arriendo_apartamento,rango_apartamento,promedio_arriendo_casa,rango_casa,promedio_arriendo_local,rango_local,indice_riesgo,nivel_riesgo,alerta
MIRAVALLE,1.3333333333333333,8.0,seguridad.nombre_barrio,,,SIN_INFO,,,,,,,,,,,,,,0.03132946800935815,💎 Diamante,🟢 Segura
MONTECLARO,2.0,10.0,seguridad.nombre_barrio,,,SIN_INFO,,,,,,,,,,,,,,0.04699420201403723,🥈 Plata,🟠 Alerta Media
MORAVIA,1.75,63.0,seguridad.nombre_barrio,,,SIN_INFO,,,,,,,,,,,,,,0.04111992676228258,🥇 Oro,🟢 Segura
MOSCU NO1,1.2,6.0,seguridad.nombre_barrio,,,SIN_INFO,,,,,,,,,,,,,,0.028196521208422337,💎 Diamante,🟢 Segura
MOSCU NO2,3.6,18.0,seguridad.nombre_barrio,,,SIN_INFO,,,,,,,,,,,,,,0.08458956362526701,🧱 Cobre,🚨 Alerta Roja
NARANJAL,3.1454545454545455,173.0,seguridad.nombre_barrio,,,SIN_INFO,,,,,,,,,,,,,,0.07390906316753128,🧱 Cobre,🚨 Alerta Roja
NUEVA VILLA DE LA IGUANA,1.25,10.0,seguridad.nombre_barrio,,,SIN_INFO,,,,,,,,,,,,,,0.029371376258773268,💎 Diamante,🟢 Segura
NUEVA VILLA DEL ABURRA,1.0,8.0,seguridad.nombre_barrio,,,SIN_INFO,,,,,,,,,,,,,,0.023497101007018614,💎 Diamante,🟢 Segura
NUEVOS CONQUISTADORES,2.0,8.0,seguridad.nombre_barrio,,,SIN_INFO,,,,,,,,,,,,,,0.04699420201403723,🥈 Plata,🟠 Alerta Media
OCHO DE MARZO,2.0,2.0,seguridad.nombre_barrio,,,SIN_INFO,,,,,,,,,,,,,,0.04699420201403723,🥈 Plata,🟠 Alerta Media
